"","Step","Cluster","X1","X2"
"1",0,2,0,0
"2",0,2,0,0
"3",0,2,0,0
"4",0,2,0,0
"5",0,2,0,0
"6",0,2,0,0
"7",0,2,0,0
"8",0,2,0,0
"9",0,2,0,0
"10",0,2,0,0
"11",0,1,1,1
"12",0,1,1,1
"13",0,1,1,1
"14",0,1,1,1
"15",0,1,1,1
"16",0,1,1,1
"17",0,1,1,1
"18",0,1,1,1
"19",0,1,1,1
"20",0,1,1,1
"21",1,2,0.193618008634076,0.115186240058392
"22",1,2,0,0
"23",1,2,0,0
"24",1,2,0,0
"25",1,2,0,0
"26",1,2,0,0
"27",1,2,0,0
"28",1,2,0,0
"29",1,2,0,0
"30",1,2,0,0
"31",1,1,1,1
"32",1,1,1,1
"33",1,1,1,1
"34",1,1,1,1
"35",1,1,1,1
"36",1,1,1,1
"37",1,1,1,1
"38",1,1,1,1
"39",1,1,1,1
"40",1,1,1,1
"41",2,2,0.193618008634076,0.115186240058392
"42",2,2,0,0
"43",2,2,0,0
"44",2,2,0,0
"45",2,2,0,0
"46",2,2,0,0
"47",2,2,0,0
"48",2,2,0,0
"49",2,2,0,0
"50",2,2,0,0
"51",2,1,0.967408181168139,0.603605904383585
"52",2,1,1,1
"53",2,1,1,1
"54",2,1,1,1
"55",2,1,1,1
"56",2,1,1,1
"57",2,1,1,1
"58",2,1,1,1
"59",2,1,1,1
"60",2,1,1,1
"61",3,2,0.193618008634076,0.115186240058392
"62",3,2,0.380481796339154,0.376513628289104
"63",3,2,0,0
"64",3,2,0,0
"65",3,2,0,0
"66",3,2,0,0
"67",3,2,0,0
"68",3,2,0,0
"69",3,2,0,0
"70",3,2,0,0
"71",3,1,0.967408181168139,0.603605904383585
"72",3,1,1,1
"73",3,1,1,1
"74",3,1,1,1
"75",3,1,1,1
"76",3,1,1,1
"77",3,1,1,1
"78",3,1,1,1
"79",3,1,1,1
"80",3,1,1,1
"81",4,2,0.193618008634076,0.115186240058392
"82",4,2,0.380481796339154,0.376513628289104
"83",4,2,0,0
"84",4,2,0,0
"85",4,2,0,0
"86",4,2,0,0
"87",4,2,0,0
"88",4,2,0,0
"89",4,2,0,0
"90",4,2,0,0
"91",4,1,0.967408181168139,0.603605904383585
"92",4,2,0.244329158449546,0.398938330356032
"93",4,1,1,1
"94",4,1,1,1
"95",4,1,1,1
"96",4,1,1,1
"97",4,1,1,1
"98",4,1,1,1
"99",4,1,1,1
"100",4,1,1,1
"101",5,2,0.193618008634076,0.115186240058392
"102",5,2,0.380481796339154,0.376513628289104
"103",5,1,0.770160776795819,0.629808300174773
"104",5,2,0,0
"105",5,2,0,0
"106",5,2,0,0
"107",5,2,0,0
"108",5,2,0,0
"109",5,2,0,0
"110",5,2,0,0
"111",5,1,0.967408181168139,0.603605904383585
"112",5,2,0.244329158449546,0.398938330356032
"113",5,1,1,1
"114",5,1,1,1
"115",5,1,1,1
"116",5,1,1,1
"117",5,1,1,1
"118",5,1,1,1
"119",5,1,1,1
"120",5,1,1,1
"121",6,1,0.193618008634076,0.115186240058392
"122",6,1,0.380481796339154,0.376513628289104
"123",6,2,0.770160776795819,0.629808300174773
"124",6,1,0,0
"125",6,1,0,0
"126",6,1,0,0
"127",6,1,0,0
"128",6,1,0,0
"129",6,1,0,0
"130",6,1,0,0
"131",6,2,0.967408181168139,0.603605904383585
"132",6,1,0.244329158449546,0.398938330356032
"133",6,2,0.474602112546563,0.71499548945576
"134",6,2,1,1
"135",6,2,1,1
"136",6,2,1,1
"137",6,2,1,1
"138",6,2,1,1
"139",6,2,1,1
"140",6,2,1,1
"141",7,1,0.193618008634076,0.115186240058392
"142",7,1,0.380481796339154,0.376513628289104
"143",7,2,0.770160776795819,0.629808300174773
"144",7,1,0.366322012851015,0.441723434720188
"145",7,1,0,0
"146",7,1,0,0
"147",7,1,0,0
"148",7,1,0,0
"149",7,1,0,0
"150",7,1,0,0
"151",7,2,0.967408181168139,0.603605904383585
"152",7,1,0.244329158449546,0.398938330356032
"153",7,2,0.474602112546563,0.71499548945576
"154",7,2,1,1
"155",7,2,1,1
"156",7,2,1,1
"157",7,2,1,1
"158",7,2,1,1
"159",7,2,1,1
"160",7,2,1,1
"161",8,1,0.193618008634076,0.115186240058392
"162",8,1,0.380481796339154,0.376513628289104
"163",8,2,0.770160776795819,0.629808300174773
"164",8,1,0.366322012851015,0.441723434720188
"165",8,1,0,0
"166",8,1,0,0
"167",8,1,0,0
"168",8,1,0,0
"169",8,1,0,0
"170",8,1,0,0
"171",8,2,0.967408181168139,0.603605904383585
"172",8,1,0.244329158449546,0.398938330356032
"173",8,2,0.474602112546563,0.71499548945576
"174",8,1,0.539484970038757,0.282680567819625
"175",8,2,1,1
"176",8,2,1,1
"177",8,2,1,1
"178",8,2,1,1
"179",8,2,1,1
"180",8,2,1,1
"181",9,1,0.193618008634076,0.115186240058392
"182",9,1,0.380481796339154,0.376513628289104
"183",9,2,0.770160776795819,0.629808300174773
"184",9,1,0.366322012851015,0.441723434720188
"185",9,1,0.157199665438384,0.124489568173885
"186",9,1,0,0
"187",9,1,0,0
"188",9,1,0,0
"189",9,1,0,0
"190",9,1,0,0
"191",9,2,0.967408181168139,0.603605904383585
"192",9,1,0.244329158449546,0.398938330356032
"193",9,2,0.474602112546563,0.71499548945576
"194",9,1,0.539484970038757,0.282680567819625
"195",9,2,1,1
"196",9,2,1,1
"197",9,2,1,1
"198",9,2,1,1
"199",9,2,1,1
"200",9,2,1,1
"201",10,2,0.193618008634076,0.115186240058392
"202",10,2,0.380481796339154,0.376513628289104
"203",10,1,0.770160776795819,0.629808300174773
"204",10,2,0.366322012851015,0.441723434720188
"205",10,2,0.157199665438384,0.124489568173885
"206",10,2,0,0
"207",10,2,0,0
"208",10,2,0,0
"209",10,2,0,0
"210",10,2,0,0
"211",10,1,0.967408181168139,0.603605904383585
"212",10,2,0.244329158449546,0.398938330356032
"213",10,1,0.474602112546563,0.71499548945576
"214",10,2,0.539484970038757,0.282680567819625
"215",10,2,0.130338311195374,0.857700327876955
"216",10,1,1,1
"217",10,1,1,1
"218",10,1,1,1
"219",10,1,1,1
"220",10,1,1,1
"221",11,1,0.193618008634076,0.115186240058392
"222",11,1,0.380481796339154,0.376513628289104
"223",11,2,0.770160776795819,0.629808300174773
"224",11,1,0.366322012851015,0.441723434720188
"225",11,1,0.157199665438384,0.124489568173885
"226",11,1,0.665870580589399,0.272990721976385
"227",11,1,0,0
"228",11,1,0,0
"229",11,1,0,0
"230",11,1,0,0
"231",11,2,0.967408181168139,0.603605904383585
"232",11,1,0.244329158449546,0.398938330356032
"233",11,2,0.474602112546563,0.71499548945576
"234",11,1,0.539484970038757,0.282680567819625
"235",11,1,0.130338311195374,0.857700327876955
"236",11,2,1,1
"237",11,2,1,1
"238",11,2,1,1
"239",11,2,1,1
"240",11,2,1,1
"241",12,2,0.193618008634076,0.115186240058392
"242",12,2,0.380481796339154,0.376513628289104
"243",12,1,0.770160776795819,0.629808300174773
"244",12,2,0.366322012851015,0.441723434720188
"245",12,2,0.157199665438384,0.124489568173885
"246",12,2,0.665870580589399,0.272990721976385
"247",12,2,0,0
"248",12,2,0,0
"249",12,2,0,0
"250",12,2,0,0
"251",12,1,0.967408181168139,0.603605904383585
"252",12,2,0.244329158449546,0.398938330356032
"253",12,1,0.474602112546563,0.71499548945576
"254",12,2,0.539484970038757,0.282680567819625
"255",12,2,0.130338311195374,0.857700327876955
"256",12,2,0.387638397049159,0.400650167139247
"257",12,1,1,1
"258",12,1,1,1
"259",12,1,1,1
"260",12,1,1,1
"261",13,1,0.193618008634076,0.115186240058392
"262",13,1,0.380481796339154,0.376513628289104
"263",13,2,0.770160776795819,0.629808300174773
"264",13,1,0.366322012851015,0.441723434720188
"265",13,1,0.157199665438384,0.124489568173885
"266",13,1,0.665870580589399,0.272990721976385
"267",13,2,0.779040389228612,0.647983307950199
"268",13,1,0,0
"269",13,1,0,0
"270",13,1,0,0
"271",13,2,0.967408181168139,0.603605904383585
"272",13,1,0.244329158449546,0.398938330356032
"273",13,2,0.474602112546563,0.71499548945576
"274",13,1,0.539484970038757,0.282680567819625
"275",13,1,0.130338311195374,0.857700327876955
"276",13,1,0.387638397049159,0.400650167139247
"277",13,2,1,1
"278",13,2,1,1
"279",13,2,1,1
"280",13,2,1,1
"281",14,2,0.193618008634076,0.115186240058392
"282",14,2,0.380481796339154,0.376513628289104
"283",14,1,0.770160776795819,0.629808300174773
"284",14,2,0.366322012851015,0.441723434720188
"285",14,2,0.157199665438384,0.124489568173885
"286",14,2,0.665870580589399,0.272990721976385
"287",14,1,0.779040389228612,0.647983307950199
"288",14,2,0,0
"289",14,2,0,0
"290",14,2,0,0
"291",14,1,0.967408181168139,0.603605904383585
"292",14,2,0.244329158449546,0.398938330356032
"293",14,1,0.474602112546563,0.71499548945576
"294",14,2,0.539484970038757,0.282680567819625
"295",14,2,0.130338311195374,0.857700327876955
"296",14,2,0.387638397049159,0.400650167139247
"297",14,2,0.361754636978731,0.350775652332231
"298",14,1,1,1
"299",14,1,1,1
"300",14,1,1,1
"301",15,1,0.193618008634076,0.115186240058392
"302",15,1,0.380481796339154,0.376513628289104
"303",15,2,0.770160776795819,0.629808300174773
"304",15,1,0.366322012851015,0.441723434720188
"305",15,1,0.157199665438384,0.124489568173885
"306",15,1,0.665870580589399,0.272990721976385
"307",15,2,0.779040389228612,0.647983307950199
"308",15,1,0.140800980851054,0.483242226298898
"309",15,1,0,0
"310",15,1,0,0
"311",15,2,0.967408181168139,0.603605904383585
"312",15,1,0.244329158449546,0.398938330356032
"313",15,2,0.474602112546563,0.71499548945576
"314",15,1,0.539484970038757,0.282680567819625
"315",15,1,0.130338311195374,0.857700327876955
"316",15,1,0.387638397049159,0.400650167139247
"317",15,1,0.361754636978731,0.350775652332231
"318",15,2,1,1
"319",15,2,1,1
"320",15,2,1,1
"321",16,2,0.193618008634076,0.115186240058392
"322",16,2,0.380481796339154,0.376513628289104
"323",16,1,0.770160776795819,0.629808300174773
"324",16,2,0.366322012851015,0.441723434720188
"325",16,2,0.157199665438384,0.124489568173885
"326",16,2,0.665870580589399,0.272990721976385
"327",16,1,0.779040389228612,0.647983307950199
"328",16,2,0.140800980851054,0.483242226298898
"329",16,2,0,0
"330",16,2,0,0
"331",16,1,0.967408181168139,0.603605904383585
"332",16,2,0.244329158449546,0.398938330356032
"333",16,1,0.474602112546563,0.71499548945576
"334",16,2,0.539484970038757,0.282680567819625
"335",16,2,0.130338311195374,0.857700327876955
"336",16,2,0.387638397049159,0.400650167139247
"337",16,2,0.361754636978731,0.350775652332231
"338",16,2,0.225554269738495,0.385702587431297
"339",16,1,1,1
"340",16,1,1,1
"341",17,2,0.193618008634076,0.115186240058392
"342",17,2,0.380481796339154,0.376513628289104
"343",17,1,0.770160776795819,0.629808300174773
"344",17,2,0.366322012851015,0.441723434720188
"345",17,2,0.157199665438384,0.124489568173885
"346",17,2,0.665870580589399,0.272990721976385
"347",17,1,0.779040389228612,0.647983307950199
"348",17,2,0.140800980851054,0.483242226298898
"349",17,2,0.531268467660993,0.277941327076405
"350",17,2,0,0
"351",17,1,0.967408181168139,0.603605904383585
"352",17,2,0.244329158449546,0.398938330356032
"353",17,1,0.474602112546563,0.71499548945576
"354",17,2,0.539484970038757,0.282680567819625
"355",17,2,0.130338311195374,0.857700327876955
"356",17,2,0.387638397049159,0.400650167139247
"357",17,2,0.361754636978731,0.350775652332231
"358",17,2,0.225554269738495,0.385702587431297
"359",17,1,1,1
"360",17,1,1,1
"361",18,2,0.193618008634076,0.115186240058392
"362",18,2,0.380481796339154,0.376513628289104
"363",18,1,0.770160776795819,0.629808300174773
"364",18,2,0.366322012851015,0.441723434720188
"365",18,2,0.157199665438384,0.124489568173885
"366",18,2,0.665870580589399,0.272990721976385
"367",18,1,0.779040389228612,0.647983307950199
"368",18,2,0.140800980851054,0.483242226298898
"369",18,2,0.531268467660993,0.277941327076405
"370",18,2,0,0
"371",18,1,0.967408181168139,0.603605904383585
"372",18,2,0.244329158449546,0.398938330356032
"373",18,1,0.474602112546563,0.71499548945576
"374",18,2,0.539484970038757,0.282680567819625
"375",18,2,0.130338311195374,0.857700327876955
"376",18,2,0.387638397049159,0.400650167139247
"377",18,2,0.361754636978731,0.350775652332231
"378",18,2,0.225554269738495,0.385702587431297
"379",18,1,0.854087603278458,0.427154872333631
"380",18,1,1,1
"381",19,1,0.193618008634076,0.115186240058392
"382",19,1,0.380481796339154,0.376513628289104
"383",19,2,0.770160776795819,0.629808300174773
"384",19,1,0.366322012851015,0.441723434720188
"385",19,1,0.157199665438384,0.124489568173885
"386",19,1,0.665870580589399,0.272990721976385
"387",19,2,0.779040389228612,0.647983307950199
"388",19,1,0.140800980851054,0.483242226298898
"389",19,1,0.531268467660993,0.277941327076405
"390",19,2,0.944483210332692,0.89398912480101
"391",19,2,0.967408181168139,0.603605904383585
"392",19,1,0.244329158449546,0.398938330356032
"393",19,1,0.474602112546563,0.71499548945576
"394",19,1,0.539484970038757,0.282680567819625
"395",19,1,0.130338311195374,0.857700327876955
"396",19,1,0.387638397049159,0.400650167139247
"397",19,1,0.361754636978731,0.350775652332231
"398",19,1,0.225554269738495,0.385702587431297
"399",19,2,0.854087603278458,0.427154872333631
"400",19,2,1,1
"401",20,1,0.193618008634076,0.115186240058392
"402",20,1,0.380481796339154,0.376513628289104
"403",20,2,0.770160776795819,0.629808300174773
"404",20,1,0.366322012851015,0.441723434720188
"405",20,1,0.157199665438384,0.124489568173885
"406",20,2,0.665870580589399,0.272990721976385
"407",20,2,0.779040389228612,0.647983307950199
"408",20,1,0.140800980851054,0.483242226298898
"409",20,1,0.531268467660993,0.277941327076405
"410",20,2,0.944483210332692,0.89398912480101
"411",20,2,0.967408181168139,0.603605904383585
"412",20,1,0.244329158449546,0.398938330356032
"413",20,2,0.474602112546563,0.71499548945576
"414",20,1,0.539484970038757,0.282680567819625
"415",20,1,0.130338311195374,0.857700327876955
"416",20,1,0.387638397049159,0.400650167139247
"417",20,1,0.361754636978731,0.350775652332231
"418",20,1,0.225554269738495,0.385702587431297
"419",20,2,0.854087603278458,0.427154872333631
"420",20,2,0.706247087568045,0.403298287885264
